slug,relevant_government
laguna-de-sonso-colombia,"Corporación Autónoma del Valle del Cauca (CVC), Dirección Regional Ambiental (DRA) Centro sur, Alcaldias de Buga, Yotoco y Guacarí, Gobernación del Valle, Ministerio de Medio Ambiente, Ministerio de Agricultura, ICA, INCODER, INCIVA"
post-disaster-injustices-and-climate-activism-in-the-aftermath-of-typhoon-bopha-philippines,"Philippine Atmospheric, Geophysical and Astronomical Services Administration, Department of Environment and Natural Resources, Regional Trial Court, Armed Forces of the Philippines"
severny-potok-north-stream-natural-gas-pipeline-at-kurgalsky-reserve,Ministry of Natural Resources and Ecology of the Russian Federation
los-peligros-de-la-fiebre-del-coltan-para-indigenas-guajibo-piaroa-y-enepa-en-los-estados-bolivar-y-amazonas,"•	Alcaldía municipio Cedeño, estado Bolívar. Alcalde Igor Falcón
•	Alcaldía municipio Atures, estado Amazonas. Alcadesa Adriana González
•	Gobernador del estado Amazonas Liborio Guarulla
•	Wilson Rojas, presidente de la Comisión de Asuntos Indígenas del Consejo Legislativo del estado Amazonas
•	Fuerza Armada Nacional Bolivariana. Desde 2009, las autoridades establecieron la Operación “Oro Azul” disponiendo de más de 15 mil efectivos de la Guardia Nacional, el Ejército y la Armada, para atacar la explotación ilegal del Coltán y preservar estas reservas  (VTV, 2009). La Fuerza Armada Nacional Bolivariana ha impulsado varios planes para la erradicación de la minería ilegal en estos territorios: el Plan Piar, en 2003; que se transformó en la Misión Piar, en 2005; el Plan de Reconversión Minera, en 2006; el Plan Caura, de 2010, y por último la Comisión Presidencial para la Protección del Desarrollo y Promoción Integral de la Actividad Minera en la Región Guayana, creada en 2014."
thalifushi-landfill-a-toxic-bomb-in-the-ocean-maldives,"Ministry of the Environment, Energy and Water
Maldives' Environment Protection Agency
Anti-Corruption Commission (ACC)
Ministry of Tourism, Arts and Culture of Republic of Maldives
Municipality of Malè"
kedung-ombo-dam-indonesia,Dutch Government
residents-of-nachodka-protest-against-the-increasing-coal-dust-problem,
eurovegas-macro-casino-complex-in-alcorcon-madrid-spain,"Madrid Regional Governement, Spanish government, Alcorcón Town Council"
proyecto-minero-el-tambor,
batangas-province-philippines,"Department of Environment and Natural Resources (DENR).
Mines and Geosciences Bureau. 
Army of the Philippines"
electrolyte-factories-godzikowice,"- Samorządowe Kolegium Odwoławcze we Wrocławie (Local Government Appeals Board in Wroclaw)
- mayor of the Oława Commune
- Regional Directorate for Environmental Protection in Wroclaw
- Director of the Regional Water Management Board in Wroclaw (National Water Management Authority of Poland)
- State County Sanitary Inspectorate in Oława"
protect-kok-zhailau-ile-alatau-state-national-nature-park-kazakhstan,"Municipality of the Alma-Ata city, Management of tourism, Management of natural resources, Energy division"
la-granja-rio-tinto,"Ministerio de Energía Y Minas
Oefa Organismo de Evaluación y Fiscalización Ambiental
ANA Autoridad Nacional del Agua
Municipalidad Distrital de Querocoto"
oil-and-gas-explorration-at-woodburn-forest-ireland,Department of the Environment Northern Ireland
toxic-waste-landfill-in-kettleman-city-usa,California EPA; California Department of Toxic Substances Control; Kings County; California Waste Management Board
mineria-de-tierras-raras-en-penco-region-del-bio-bio,Servicio de Evaluación Ambiental (SEA)
gitwilgyoots-and-lelu-island-lax-uula-vs-proposed-petronas-lng-export-facility,"BC Liberals (Christy Clark- premier)
Liberal Party (Justin Trudeau - prime minister)"
stung-cheay-areng-hydroelectric-dam-development-at-the-cost-of-indigenous-communities-koh-kong-cambodia,"Lao Meng Khin senator (CPP)
Choeung Sopheap (wife of Lao Meng Khin)"
tia-maria-peru,"Ministerio de Energia y Minas, Gobierno Municipal de Cocachacra, Gobierno Municipal de Islay-Matarani, Gobierno Municipal de Mollendo, Gobierno Municipal de Punta de Bombon, Gobierno Municipal de Dean Valdivia, Gobierno Municipal de Mejía"
cienaga-grande-de-santa-marta-colombia,"Ministerio de Ambiente y Desarrollo Sostenible, Ministerio de Transporte, Senado de la Republica de Colombia, Gobernacion del Magdalena, Alcaldia del municipio de Cienaga, Alcaldia del municipio de Barranquilla, Corporacion Autonoma Regional del Magdalena , Instituto de Investigaciones Marinas y Costeras Jose Benito Vives de Andreis "
ministry-of-energys-watershed-mapping-study-yelcho-watershed,Ministry of Energy; Ministry of the Environment
aswan-high-dam-egypt,
thacker-pass-lithium-mine-nevada-us,
significant-maritime-and-industrial-area-in-brooklyn,"EPA, NY DEC, City of New York"
nigerian-womens-war-against-chevrontexaco,Department of Petroleum Resources
lonco-mine-projects-argentina,"Gobierno Provincial del Neuquén,
Gobierno Municipal de Loncopué, 
Dirección Provincial de Medio Ambiente y Desarrollo Sustentable.
Juzgado de Zapala."
water-rights-and-access-injustice-in-detroits-urban-areas,"Detroit Water and Sewerage Department,  Detroit City Council, Great Lakes Water Authority (GLWA)"
nuclear-power-station-in-cofrents-valencia-spain,"Valencian regional government, Spanish Ministry of Industry"
gaza-cement-factory-palestine,"Environmental Quality Authority (EQA)
Ministry of National Economy (MNE)
Ministry of Local Government (MOLG)
Ministry of Agriculture (MOA)"
hindustan-petroleum-corporation-limited-refinery-at-tavsal-maharastra-india,"Ministry of Environment and Forests, Government of India, Government of Maharashtra"
kaliwa-dam-new-centennial-water-source-project-ncws-quezon-philippines,"Metropolitan Waterworks and Sewerage System (MWSS); National Economic and Development Authority (NEDA) Investment Coordination Committee (ICC); Public Private Partnership (PPP) Center, and others"
minamata-disease-japan,"Kumamoto and Kagoshima prefectural government, Kumamoto University, Ministry of Health and Welfares Minamata Food Poisoning Subcommittee, Minamata Mayor, Todomu Nakamura, Ministry of International Trade and Industry and the Japan Chemical Industry Association"
myotha-industrial-park,"The Myanmar Investment Commission (MIC)
The Mandalay Industrial Development Authority
Land Measurement Committee
General Administration Department (GAD) of Ngazun Township"
kxp-airportcity-kulim-airport,"Kedah State Government
Northern Corridor Implementation Authority (NCIA)
Ministry of Transport
Sungai Petani Municipal Council
National Physical Planning Council (NPPC)
Civil Aviation Authority of Malaysia (CAAM)
Economic Planning Unit
Federal Government of Malaysia"
cultivo-de-esparragos-en-ica-peru,"Autoridad Nacional del Agua (ANA), Autoridad Local de Agua de Ica."
dioxin-pollution-in-qingpuling-village-fujiang-china,"Qingpuling village officials, Minhou County Officials, Fujian Province officials [4]"
exploracion-de-litio-en-san-luis-argentina,"Deliberative Council of San Francisco del Monte de Oro. Intendant of San Francisco del Monte de Oro. Provincial Government of San Luis. University of the Punta, Government of San Luis. Ministry of the Environment of the province of San Luis. Provincial direction of mining and the biodiversity program. Program Management and Environmental Support, Industrial and Mining."
moni-toplou,"Municipality of Itanos, Perfecture of Lasithi,
Ministry of finance, Ministry of Enviroment, Spatial Planning and Public Works"
gorai-manori-uttan-recreation-and-tourism-development-zone-rtdz-in-mumbai-mh-india,"Municipal Corporation of Brihan Mumbai,  Mira-Bhayander Municipal Corporation, Maharashtra Tourism Development Corporation, Maharashtra Coastal Zone Management Authority, Government of Maharashtra, M/s. EPC Management Planning and Development Private Limited, Ahmedabad (Consultant) "
stringfellow-toxic-waste-dump,"Environmental Protection Agency (EPA), Santa Ana Regional Water Quality Control Board, California Department of Toxic Substances Control (DTSC),  State of California"
sterlite-copper-smelter-unit-india,"Tamil Nadu Pollution Control Board , District Collector, Ministry of Environment & Forests (MoEF) and the chairperson of the Supreme Court Monitoring Committee.
National Green Tribunal"
ojibwe-nations-struggle-to-protect-wild-rice-from-oil-extraction-activities-in-the-us-and-canada,"Government of Canada, the US government"
the-people-versus-arctic-oil,The Government of Norway represented by the Ministry of Petroleum and Energy
niddodi-thermal-power-project-karnataka-india,Government of India
recognition-of-fisherwomen-perempuan-nelayan-in-indonesia,"The Government of Indonesia, the House of the Representatives (DPR) of Indonesian Republic"
illegal-land-acquisition-for-coal-mining-and-violent-protest-in-hazaribagh-jharkhand,"Jharkhand State Government under Mr. Raghubar Das. 
Nirmala Devi, Member of Legislative Assemby, and Yogendra Saw, former Agriculture Minister of Jharkhand in support of the villagers' protest"
proyecto-inmobiliario-bosque-diamante-en-jilotzingo-estado-de-mexico,"- Secretaría del Medio Ambiente y Recursos Naturales (SEMARNAT), - - Gobierno Federal
- Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO).
- Secretaría de Desarrollo Urbano y Metropolitano del Gobierno del Estado de México.
- Ayuntamiento de Jilotzingo"
polska-bnk-petroleum-fracking-poland,"Civic Platform Party , Opposition Law and Justice Party "
over-a-century-of-the-pollution-from-the-bor-mines-serbia,The Government of ex-Yugoslavia; The Government of Republic of Serbia; The Ministry of Agriculture and Environmental Protection of Republic of Serbia; The Inspectorate for Environmental Protection; The Municipality of Bor
aura-dump-and-the-struggle-of-belems-informal-wastepickers-para-brazil,"Municipal governments of  Belém, Ananindeua and Marituba
State government
Ministério Público Pará (MPPA; Public Prosecutor’s Office of Pará)
Environmental Attorney
Centro de Apoio Operacional do Meio Ambiente do Ministério Público (CAOMA)"
jade-conflict-myanmar,"Myanmar government, Kachin Independence Organization, United Wa State Party,
Former dictator Than Shwe and generals Maung Maung Thein and Ohn Myint"
santa-clara-de-uchunya,"Dirección Regional de Agricultura Ucayali (DRAU) del Gobierno Regional de Ucayali (GOREU).
COFOPRI (Organismo de Formalización de la Propiedad Informal).
Dirección General de Asuntos Ambientales Agrarios (DGAAA) del Ministerio de Agricultura y Riego (MINAGRI).
La Fiscalía Especializada del Medio Ambiente de Ucayali.
Defensoría del Pueblo."
anti-mining-protest-in-lhundrub-county-occupitied-tibet,
incinerator-of-urban-solid-waste-in-barueri-sao-paulo-brazil,"Conselho Estadual do Meio Ambiente (Consema)
Companhia Ambiental do Estado de São Paulo (Cetesb) 
Secretaria de Meio Ambiente (Sema)"
explosions-at-paraxylene-px-petchem-plant-and-the-related-protests-zhangzhou-fujian,"Provincial government of Fujian
Zhangzhou Prefecture Government
Zhangpu County Level government
Ministry of Environment Protection
National Development and Reform Commission"
quilombola-communities-affected-by-wind-power-projects-in-caetite-region-brazil,"Governo Federal do Brasil 
Instituto do Meio Ambiente e Recursos Hídricos
Secretaria de Promoção da Igualdade Racial
Governo do Estado da Bahía
Instituto Nacional de Colonização e Reforma Agrária"
displacement-of-gullah-islanders-usa,"US Government, Town of Hilton Head Island"
coastal-communities-in-louisiana,"City of New Orleans, State of Louisiana, U.S. Coast Guard, U.S. Environmental Protection Agency, U.S. Army Corps of Engineers, FEMA"
jiew-kang-jue-pattana-oil-palm-company-thailand,"Agricultural Land Reform Office (ALRO)
The Royal Thai government
Land Bank Administration Institute"
dambulla-quartz-mining-case,"Forest Department
Central Environmental Authority
Geological Survey and Mines Bureau
Divisional Secretary of Dambulla
Dambulla Pradeshiya Sabha
Conservator General of Forests, Deputy Conservator of Forests, District Forest Officer of Matale, Geological Survey and Mines Bureau, Divisional Secretary of Dambulla. the Chairman of Dambulla Pradeshiya Sabha, Chairman of the Central Environmental Authority (CEA)"
nanjing-residents-fight-against-removing-signature-plane-trees-for-metro-lines-jiangsu-china,"- The Nanjing Municipal government
- KMT’s Central Standing Committee (CSC) in Taiwan
- Association for Relations Across the Taiwan Straits and the Straits Exchange Foundation
- the Taiwan Affairs Office (TAO) of Nanjing Municipal Government
- the Public Security Bureau of Nanjing City"
ban-on-cycling-in-kolkata-west-bengal-india,"West Bengal Government, Kolkata Police"
costa-brava-landfill-lebanon,"Council for Development and Reconstruction (CDR)
http://www.cdr.gov.lb/
Ministry of Environment
http://www.moe.gov.lb/Home.aspx?lang=en-us
Ministry of Public Works
http://www.transportation.gov.lb/
Beirut's Southern Suburbs Municipalities Union
https://www.facebook.com/EtihadBaladietDahiah/"
